,0
18640280.0,269780
18652877.0,248980
27613427.0,545910
21583046.0,104160
19813847.0,118490
21550985.0,174550
12338942.0,78900
18039569.0,799800
18021914.0,2379420
18419840.0,77260
19023932.0,298970
13538642.0,183400
19627808.0,598400
18021440.0,255370
18668606.0,1102280
12969350.0,49000
21206702.0,147300
18714860.0,44890
17454683.0,75990
19174175.0,677680
21628184.0,231980
21629063.0,1245430
19814027.0,140490
17001050.0,129000
17913710.0,406890
18021491.0,278450
18303401.0,1619000
16571885.0,69000
18442058.0,178980
18076145.0,108810
16587443.0,158400
18165161.0,242700
19059974.0,1166540
16542008.0,66860
21427535.0,
19644539.0,1146680
20723090.0,77280
8034664.0,150000
18640379.0,502500
18686546.0,1159650
14905265.0,91959
18038831.0,405850
19498640.0,180370
16541294.0,67970
18297002.0,129000
19536062.0,183550
20297981.0,641980
11884207.0,100990
16237661.0,146000
13276304.0,185200
17913311.0,291230
19627259.0,160890
19756001.0,784870
20701928.0,45890
19548806.0,68000
14905301.0,52800
21694499.0,220320
20324882.0,167550
18564128.0,96000
20480564.0,101670
12339347.0,110500
16741211.0,147160
16284179.0,132000
20729429.0,461510
15063971.0,52940
14677028.0,62500
13161353.0,55000
9790371.0,268600
18788645.0,61520
13934357.0,83900
18652871.0,212490
18686444.0,1160300
13934516.0,99900
15594887.0,590470
15615839.0,4419000
17982338.0,2487230
17764370.0,89000
13168653.0,184150
16862453.0,119000
17926670.0,389580
19702460.0,1479910
9564369.0,259000
16088780.0,188980
14442641.0,
16799618.0,126484
13853267.0,149000
11881423.0,189408
18901058.0,217900
17000984.0,208000
17971187.0,267290
20229659.0,89000
14121053.0,127420
13276568.0,87650
20274764.0,545280
27672713.0,78100
7136788.0,90910
16900748.0,66300
18718481.0,278630
20506130.0,138000
19714703.0,814380
19583933.0,35250
13466708.0,87000
18021581.0,298000
18108812.0,2439300
10958634.0,343400
20057756.0,210600
18297722.0,209720
18640442.0,750640
16367189.0,710000
16900727.0,59270
13854197.0,98000
14110475.0,29900
18725225.0,1004530
18167699.0,471650
20730374.0,434890
12400805.0,70870
14588231.0,123000
18039356.0,549600
18538823.0,108816
20202218.0,238000
17913863.0,591280
15122126.0,87000
17523467.0,85000
18076187.0,112600
10900926.0,79800
13161338.0,98000
19773293.0,831090
16200560.0,86500
18039269.0,436870
18421946.0,208250
24138818.0,36270
16761773.0,129520
17971253.0,233800
13512254.0,374500
11884168.0,91147
12400748.0,62500
17353070.0,143224
18790985.0,559600
16437518.0,38480
17523098.0,49990
6375041.0,24990
16637543.0,115980
16313996.0,327990
12192788.0,49293
18871952.0,49000
17743070.0,
17454767.0,42990
18652886.0,140000
16663688.0,79000
18021842.0,363000
19017281.0,1152410
18449441.0,85520
12487301.0,168900
18780872.0,260830
19781519.0,781300
17661149.0,203405
13562645.0,38240
20502104.0,1111990
5973034.0,119000
18718631.0,562230
20274611.0,534990
9431634.0,65000
18076082.0,90900
17454494.0,62490
19773158.0,807880
16437569.0,44500
13342367.0,28460
16084070.0,134810
19774208.0,807020
16362038.0,149000
16741349.0,239000
11649263.0,129200
16200479.0,76960
18718496.0,267830
13658789.0,70200
17523179.0,42000
19673600.0,163310
19642520.0,367130
13150373.0,89280
6769699.0,56090
19174415.0,928900
17926745.0,448000
18302759.0,1757520
19961321.0,239000
17454743.0,394900
16101353.0,190390
15618923.0,309000
3353742.0,627230
18718538.0,404150
20723066.0,435000
11626910.0,32500
18307451.0,1639000
17747885.0,89000
18157265.0,
18075779.0,85500
8577818.0,71000
15245648.0,68746
19627457.0,663600
17971604.0,215420
14705840.0,47500
15055580.0,111000
17913980.0,787600
17971184.0,213490
19756598.0,832350
11225526.0,121000
16850843.0,124000
18087968.0,149990
21727307.0,165800
10423167.0,42220
20308373.0,547480
19627601.0,925480
20760632.0,278990
18060368.0,868205
919975.0,
17865728.0,248990
9964230.0,164330
18039374.0,569850
18599705.0,419210
18302282.0,1654000
17982335.0,2529000
18651506.0,218700
18538847.0,126484
14905214.0,174810
10448835.0,176000
14444705.0,916000
14076317.0,49780
18058475.0,405305
20732270.0,420000
14209529.0,93000
18640319.0,325740
20243312.0,881980
17780918.0,55290
27161939.0,423240
18212909.0,38320
12397334.0,78120
17970338.0,239060
20301275.0,581100
12836186.0,314280
12617759.0,192700
15754070.0,648400
13190573.0,82500
18669413.0,1108780
17409059.0,86000
11021298.0,749700
27507986.0,575740
12681023.0,316000
17397248.0,119700
15022826.0,169000
18976055.0,491650
20592260.0,1220000
18846341.0,189000
18295808.0,461980
14032454.0,166890
16489511.0,175500
20076629.0,260320
18651431.0,204620
19781723.0,834900
9782097.0,152000
18640397.0,543910
13110488.0,101000
16687646.0,79000
10506012.0,143760
27635753.0,408720
19743740.0,119976
20662874.0,175990
17971178.0,378980
9747681.0,134858
20079428.0,551220
21583037.0,97650
18060383.0,410990
25098770.0,189000
18652880.0,216490
12447437.0,28370
18060395.0,625990
18698078.0,345000
10467378.0,269000
18640472.0,791220
17033048.0,118900
19814000.0,136470
19628207.0,220400
20315651.0,150070
20722592.0,472840
12053192.0,102990
10901742.0,78790
20723405.0,412650
21625649.0,52420
18167522.0,527990
18751016.0,238440
15265577.0,177000
13463144.0,378560
20628080.0,89900
18652865.0,268490
16342190.0,87900
12487214.0,139000
17926781.0,409460
17972810.0,2420230
17135795.0,191300
17926748.0,629657
16301513.0,249000
17853017.0,231576
16103186.0,213762
27730508.0,878990
16362158.0,139000
15216788.0,124650
18763670.0,1087520
27548141.0,626960
11574545.0,112050
14461811.0,1257600
17654444.0,168300
19755890.0,147800
18713942.0,553690
18983477.0,137000
12625265.0,170410
12069566.0,76260
18373469.0,750000
13381634.0,43500
14824829.0,396920
11564300.0,47900
5734544.0,74490
14588288.0,114300
14927675.0,148930
12067598.0,77050
17976938.0,19580
18503426.0,47090
19772375.0,184820
21625646.0,47700
18539024.0,114279
11780869.0,86000
17970146.0,325190
18060350.0,338720
19844222.0,1158990
18538994.0,108029
14719271.0,947670
5633207.0,80000
9515844.0,218000
15604913.0,43320
20312969.0,532900
16348940.0,
16604054.0,69000
11571368.0,148660
21771362.0,818920
18412487.0,119700
19768010.0,910640
18750881.0,348490
20315813.0,163980
12401186.0,213240
8173504.0,56920
18649997.0,202630
14861477.0,551170
17917991.0,398980
16862534.0,
13190519.0,44050
12487337.0,210000
12633692.0,129000
20613197.0,717940
20312741.0,638990
17976368.0,131800
17926763.0,328800
13190630.0,149900
14588144.0,122900
19047491.0,880000
15786305.0,68630
19772036.0,846000
18136580.0,86000
19827572.0,138573
20628194.0,166000
18646550.0,229860
19921292.0,248970
18307634.0,1779000
20057990.0,183470
17971181.0,329000
17136002.0,190080
18329759.0,324578
20600147.0,231340
19756199.0,272850
6217539.0,213430
15594638.0,460950
7136755.0,54529
10006971.0,88410
16140809.0,417880
18054803.0,372100
14853878.0,393320
18922763.0,44970
12400646.0,55990
18872015.0,56000
19102883.0,1187360
19306148.0,119000
20009693.0,94900
19098683.0,190900
9431529.0,59000
18910439.0,
5718431.0,84500
19125611.0,2518080
15266783.0,213500
16101326.0,234880
16083650.0,99130
12572462.0,37498
17926772.0,322040
17982347.0,2771280
20031989.0,66570
18980858.0,1669320
21522878.0,94990
21547892.0,177090
20471123.0,94310
15693545.0,1369000
19321322.0,339000
17783126.0,44990
13562714.0,89870
18798842.0,347480
18684122.0,26500
14789870.0,63000
17454590.0,39890
17658794.0,403100
18147938.0,58590
17523389.0,75000
18261245.0,303070
20501747.0,174000
16427084.0,178490
2996635.0,156560
9306525.0,
18261176.0,355000
18652868.0,238980
19755944.0,820590
18718592.0,584840
17969774.0,476330
14597915.0,82000
7179316.0,77500
18725357.0,347850
20205068.0,426170
20687702.0,288260
13735088.0,74103
15796589.0,39790
11540768.0,51110
17570783.0,8185000
13562387.0,1419470
5968537.0,231800
19864532.0,250173
16101464.0,380390
18503468.0,61032
18044582.0,496090
20662922.0,177160
16587515.0,89080
18039512.0,755380
18264857.0,394990
12622091.0,497850
11015937.0,141180
15369467.0,631990
13381619.0,38500
11242917.0,82000
17658332.0,27180
14776451.0,861000
19705316.0,123990
16195334.0,97860
20120033.0,157070
16144583.0,48280
17971598.0,250910
19060016.0,1196950
18699401.0,829860
18813608.0,163590
14837663.0,635950
20220104.0,68000
16463090.0,150520
15894419.0,
17711546.0,131080
13976141.0,
11881408.0,139402
20500949.0,1120000
24703415.0,405720
19806944.0,118800
11764859.0,138573
27499418.0,375990
20010002.0,79340
27570908.0,1248990
19278527.0,279400
21206882.0,117600
19043699.0,346030
19773899.0,839100
8173525.0,66740
19672418.0,129000
18477077.0,187864
16094585.0,144010
11247363.0,62000
15808484.0,63247
16301510.0,229402
17022707.0,924000
17407550.0,111600
15429287.0,167847
20360642.0,56000
19073519.0,39230
17926784.0,452290
19306217.0,87000
18670235.0,
12400844.0,76690
19755191.0,859250
14448719.0,412730
18663323.0,158840
19771712.0,868000
20391572.0,203675
19690001.0,38980
17788487.0,115540
19903640.0,242820
17347271.0,169090
20317796.0,443795
18044519.0,267970
17970548.0,340480
27527396.0,249000
18788681.0,64520
18652601.0,205000
19772786.0,240640
17192498.0,92850
15594446.0,293970
18781991.0,166450
21444533.0,365640
16567229.0,71500
12822224.0,616000
13552679.0,68746
18055820.0,1635150
13596899.0,6916670
9822756.0,
5468657.0,125940
14803400.0,495000
17973179.0,2519710
15025229.0,318900
20600144.0,141900
11021130.0,1086030
5857774.0,1075000
9909333.0,268380
17538716.0,89900
11574341.0,199000
20255534.0,61590
20662490.0,156190
20441837.0,605990
17706038.0,63960
13612532.0,420300
16153055.0,274640
11479695.0,168000
13975994.0,147800
11881387.0,139402
20740013.0,419500
17973020.0,2793550
17015456.0,211990
20275859.0,311110
16101581.0,591490
14406062.0,
11650160.0,60460
20739584.0,440208
20220176.0,76000
14927759.0,267980
18059849.0,947200
19840346.0,199024
